,earlystop_patience,kernel_size_1,latent_sample_rate,nb_stacks,start_filter_no,loss,logcosh,val_loss,val_logcosh,epochs_trained,date_time,model_name
0,27,2,32,4,16,0.070954248,0.070954248,0.072498344,0.072498344,200,20210928-140032,TCNAE-20210928-140032:_c=32.00_f=16_k=2_stk=4_er=27
0,25,2,32,2,16,0.067486286,0.067486286,0.069354072,0.069354072,200,20210928-052518,TCNAE-20210928-052518:_c=32.00_f=16_k=2_stk=2_er=25
0,27,5,32,4,16,0.06637574,0.06637574,0.068685934,0.068685934,200,20210928-124324,TCNAE-20210928-124324:_c=32.00_f=16_k=5_stk=4_er=27
0,41,2,16,3,16,0.063243479,0.063243479,0.067173503,0.067173503,200,20210928-130438,TCNAE-20210928-130438:_c=16.00_f=16_k=2_stk=3_er=41
0,29,3,32,4,32,0.060897261,0.060897261,0.066948995,0.066948995,141,20210928-093733,TCNAE-20210928-093733:_c=32.00_f=32_k=3_stk=4_er=29
0,39,6,32,2,16,0.061153695,0.061153695,0.065996349,0.065996349,200,20210928-053530,TCNAE-20210928-053530:_c=32.00_f=16_k=6_stk=2_er=39
0,33,3,16,4,32,0.055729765,0.055729765,0.065956272,0.065956272,177,20210928-024631,TCNAE-20210928-024631:_c=16.00_f=32_k=3_stk=4_er=33
0,37,3,32,3,32,0.06135226,0.06135226,0.065771908,0.065771908,200,20210928-040217,TCNAE-20210928-040217:_c=32.00_f=32_k=3_stk=3_er=37
0,29,2,32,1,32,0.061888136,0.061888136,0.06560906,0.06560906,167,20210928-055856,TCNAE-20210928-055856:_c=32.00_f=32_k=2_stk=1_er=29
0,23,2,32,1,32,0.061408214,0.061408214,0.064132348,0.064132348,176,20210928-112738,TCNAE-20210928-112738:_c=32.00_f=32_k=2_stk=1_er=23
0,33,7,16,2,16,0.057223879,0.057223879,0.063314125,0.063314125,185,20210928-060021,TCNAE-20210928-060021:_c=16.00_f=16_k=7_stk=2_er=33
0,26,7,32,4,32,0.059217691,0.059217691,0.063002862,0.063002862,164,20210928-080924,TCNAE-20210928-080924:_c=32.00_f=32_k=7_stk=4_er=26
0,31,7,16,4,16,0.057756454,0.057756454,0.062923416,0.062923416,200,20210928-015502,TCNAE-20210928-015502:_c=16.00_f=16_k=7_stk=4_er=31
0,35,12,32,3,16,0.05735055,0.05735055,0.062871084,0.062871084,200,20210928-054217,TCNAE-20210928-054217:_c=32.00_f=16_k=12_stk=3_er=35
0,28,3,8,3,16,0.057618052,0.057618052,0.062865488,0.062865488,200,20210928-070148,TCNAE-20210928-070148:_c=8.00_f=16_k=3_stk=3_er=28
0,31,3,32,1,32,0.056912545,0.056912545,0.062170964,0.062170964,196,20210928-090457,TCNAE-20210928-090457:_c=32.00_f=32_k=3_stk=1_er=31
0,42,9,32,4,16,0.059268575,0.059268575,0.062087752,0.062087752,200,20210928-131744,TCNAE-20210928-131744:_c=32.00_f=16_k=9_stk=4_er=42
0,47,13,32,2,16,0.057532225,0.057532225,0.061654285,0.061654285,175,20210928-005433,TCNAE-20210928-005433:_c=32.00_f=16_k=13_stk=2_er=47
0,40,9,32,1,16,0.056462016,0.056462016,0.061403133,0.061403133,200,20210928-120128,TCNAE-20210928-120128:_c=32.00_f=16_k=9_stk=1_er=40
0,49,3,16,2,16,0.057355329,0.057355329,0.061102875,0.061102875,200,20210928-112912,TCNAE-20210928-112912:_c=16.00_f=16_k=3_stk=2_er=49
0,35,4,32,1,64,0.053713806,0.053713806,0.060799167,0.060799167,137,20210928-044554,TCNAE-20210928-044554:_c=32.00_f=64_k=4_stk=1_er=35
0,44,4,32,1,64,0.05466887,0.05466887,0.060592622,0.060592622,128,20210928-092118,TCNAE-20210928-092118:_c=32.00_f=64_k=4_stk=1_er=44
0,32,19,32,3,16,0.057565439,0.057565439,0.060418379,0.060418379,138,20210928-150726,TCNAE-20210928-150726:_c=32.00_f=16_k=19_stk=3_er=32
0,36,10,32,3,32,0.057636593,0.057636593,0.060370136,0.060370136,113,20210928-013124,TCNAE-20210928-013124:_c=32.00_f=32_k=10_stk=3_er=36
0,39,18,32,4,64,0.054625414,0.054625414,0.060297798,0.060297798,147,20210928-103312,TCNAE-20210928-103312:_c=32.00_f=64_k=18_stk=4_er=39
0,25,12,32,2,32,0.055148005,0.055148005,0.06028923,0.06028923,117,20210928-074953,TCNAE-20210928-074953:_c=32.00_f=32_k=12_stk=2_er=25
0,32,14,32,4,32,0.055832792,0.055832792,0.060283449,0.060283449,147,20210928-085028,TCNAE-20210928-085028:_c=32.00_f=32_k=14_stk=4_er=32
0,43,12,32,2,32,0.055312138,0.055312138,0.060188849,0.060188849,123,20210928-033351,TCNAE-20210928-033351:_c=32.00_f=32_k=12_stk=2_er=43
0,28,5,32,1,32,0.053511497,0.053511497,0.060121655,0.060121655,157,20210928-125800,TCNAE-20210928-125800:_c=32.00_f=32_k=5_stk=1_er=28
0,41,8,32,3,32,0.053548384,0.053548384,0.059804734,0.059804734,172,20210928-034008,TCNAE-20210928-034008:_c=32.00_f=32_k=8_stk=3_er=41
0,24,18,32,4,128,0.053208537,0.053208537,0.059694812,0.059694812,87,20210928-030655,TCNAE-20210928-030655:_c=32.00_f=128_k=18_stk=4_er=24
0,23,3,32,1,128,0.054167751,0.054167751,0.059584267,0.059584267,102,20210928-103756,TCNAE-20210928-103756:_c=32.00_f=128_k=3_stk=1_er=23
0,40,3,32,1,128,0.054055315,0.054055315,0.059562445,0.059562445,107,20210928-142923,TCNAE-20210928-142923:_c=32.00_f=128_k=3_stk=1_er=40
0,42,4,16,3,32,0.045215655,0.045215655,0.059547875,0.059547875,163,20210928-113212,TCNAE-20210928-113212:_c=16.00_f=32_k=4_stk=3_er=42
0,40,11,32,1,32,0.053729095,0.053729095,0.059269443,0.059269443,152,20210928-122618,TCNAE-20210928-122618:_c=32.00_f=32_k=11_stk=1_er=40
0,33,10,32,2,16,0.055448953,0.055448953,0.059006803,0.059006803,177,20210928-113536,TCNAE-20210928-113536:_c=32.00_f=16_k=10_stk=2_er=33
0,44,14,32,2,32,0.054932628,0.054932628,0.058953647,0.058953647,134,20210928-052036,TCNAE-20210928-052036:_c=32.00_f=32_k=14_stk=2_er=44
0,43,7,32,1,64,0.055925582,0.055925582,0.058783278,0.058783278,106,20210928-122738,TCNAE-20210928-122738:_c=32.00_f=64_k=7_stk=1_er=43
0,27,8,32,1,64,0.054601666,0.054601666,0.058667716,0.058667716,89,20210928-025847,TCNAE-20210928-025847:_c=32.00_f=64_k=8_stk=1_er=27
0,33,13,32,4,128,0.052387666,0.052387666,0.058476716,0.058476716,119,20210928-144841,TCNAE-20210928-144841:_c=32.00_f=128_k=13_stk=4_er=33
0,39,8,32,3,64,0.043143101,0.043143101,0.058432877,0.058432877,152,20210928-125923,TCNAE-20210928-125923:_c=32.00_f=64_k=8_stk=3_er=39
0,36,12,32,2,32,0.054170784,0.054170784,0.058389723,0.058389723,134,20210928-015301,TCNAE-20210928-015301:_c=32.00_f=32_k=12_stk=2_er=36
0,41,9,16,2,16,0.051301748,0.051301748,0.058376763,0.058376763,200,20210928-085423,TCNAE-20210928-085423:_c=16.00_f=16_k=9_stk=2_er=41
0,29,9,32,1,64,0.05545811,0.05545811,0.058153201,0.058153201,91,20210928-091137,TCNAE-20210928-091137:_c=32.00_f=64_k=9_stk=1_er=29
0,44,15,32,1,32,0.052130144,0.052130144,0.058111545,0.058111545,135,20210928-125352,TCNAE-20210928-125352:_c=32.00_f=32_k=15_stk=1_er=44
0,46,4,8,4,32,0.044069067,0.044069067,0.058056381,0.058056381,120,20210928-045100,TCNAE-20210928-045100:_c=8.00_f=32_k=4_stk=4_er=46
0,33,14,32,2,32,0.054272696,0.054272696,0.057921682,0.057921682,142,20210928-045722,TCNAE-20210928-045722:_c=32.00_f=32_k=14_stk=2_er=33
0,42,12,32,3,32,0.045128569,0.045128569,0.057884365,0.057884365,200,20210928-005705,TCNAE-20210928-005705:_c=32.00_f=32_k=12_stk=3_er=42
0,42,17,32,3,32,0.053195879,0.053195879,0.057839435,0.057839435,159,20210928-030340,TCNAE-20210928-030340:_c=32.00_f=32_k=17_stk=3_er=42
0,31,6,32,1,128,0.053789981,0.053789981,0.057745412,0.057745412,95,20210928-141120,TCNAE-20210928-141120:_c=32.00_f=128_k=6_stk=1_er=31
0,29,6,32,4,128,0.053659737,0.053659737,0.057257861,0.057257861,110,20210928-082610,TCNAE-20210928-082610:_c=32.00_f=128_k=6_stk=4_er=29
0,25,19,32,2,128,0.050911561,0.050911561,0.056835614,0.056835614,106,20210928-120607,TCNAE-20210928-120607:_c=32.00_f=128_k=19_stk=2_er=25
0,24,4,32,2,128,0.047236964,0.047236964,0.056815993,0.056815993,111,20210928-130855,TCNAE-20210928-130855:_c=32.00_f=128_k=4_stk=2_er=24
0,22,13,32,1,64,0.049328942,0.049328942,0.055900596,0.055900596,115,20210928-113816,TCNAE-20210928-113816:_c=32.00_f=64_k=13_stk=1_er=22
0,33,17,32,2,32,0.041591056,0.041591056,0.055329863,0.055329863,173,20210928-095332,TCNAE-20210928-095332:_c=32.00_f=32_k=17_stk=2_er=33
0,45,12,32,2,128,0.041016966,0.041016966,0.055183429,0.055183429,146,20210928-012850,TCNAE-20210928-012850:_c=32.00_f=128_k=12_stk=2_er=45
0,37,15,32,4,128,0.038787358,0.038787358,0.055157252,0.055157252,157,20210928-032752,TCNAE-20210928-032752:_c=32.00_f=128_k=15_stk=4_er=37
0,27,19,16,3,16,0.047442172,0.047442172,0.054712798,0.054712798,169,20210928-013952,TCNAE-20210928-013952:_c=16.00_f=16_k=19_stk=3_er=27
0,39,16,16,4,64,0.050661661,0.050661661,0.054670673,0.054670673,98,20210928-053233,TCNAE-20210928-053233:_c=16.00_f=64_k=16_stk=4_er=39
0,49,6,8,4,16,0.035914447,0.035914447,0.054586243,0.054586243,195,20210928-105602,TCNAE-20210928-105602:_c=8.00_f=16_k=6_stk=4_er=49
0,43,13,32,2,32,0.042334616,0.042334616,0.054397453,0.054397453,187,20210928-023326,TCNAE-20210928-023326:_c=32.00_f=32_k=13_stk=2_er=43
0,46,10,32,2,32,0.042695932,0.042695932,0.054346304,0.054346304,192,20210928-101002,TCNAE-20210928-101002:_c=32.00_f=32_k=10_stk=2_er=46
0,42,4,8,3,16,0.036662836,0.036662836,0.054133225,0.054133225,177,20210928-134232,TCNAE-20210928-134232:_c=8.00_f=16_k=4_stk=3_er=42
0,21,17,32,1,64,0.043633189,0.043633189,0.053645894,0.053645894,117,20210928-044134,TCNAE-20210928-044134:_c=32.00_f=64_k=17_stk=1_er=21
0,46,8,32,4,128,0.033778891,0.033778891,0.053444561,0.053444561,171,20210928-110241,TCNAE-20210928-110241:_c=32.00_f=128_k=8_stk=4_er=46
0,21,11,32,1,128,0.037526719,0.037526719,0.053095896,0.053095896,128,20210928-025052,TCNAE-20210928-025052:_c=32.00_f=128_k=11_stk=1_er=21
0,43,6,32,2,64,0.039568875,0.039568875,0.052296139,0.052296139,161,20210928-100137,TCNAE-20210928-100137:_c=32.00_f=64_k=6_stk=2_er=43
0,45,6,32,3,128,0.039595112,0.039595112,0.052287515,0.052287515,167,20210928-075925,TCNAE-20210928-075925:_c=32.00_f=128_k=6_stk=3_er=45
0,27,16,16,4,128,0.020922877,0.020922877,0.050998017,0.050998017,122,20210928-104043,TCNAE-20210928-104043:_c=16.00_f=128_k=16_stk=4_er=27
0,22,2,16,3,128,0.028051699,0.028051699,0.050529018,0.050529018,127,20210928-075632,TCNAE-20210928-075632:_c=16.00_f=128_k=2_stk=3_er=22
0,47,10,8,4,16,0.034505136,0.034505136,0.048446726,0.048446726,182,20210928-011034,TCNAE-20210928-011034:_c=8.00_f=16_k=10_stk=4_er=47
0,22,10,16,1,64,0.024199149,0.024199149,0.048161961,0.048161961,108,20210928-022159,TCNAE-20210928-022159:_c=16.00_f=64_k=10_stk=1_er=22
0,26,5,16,3,64,0.026015388,0.026015388,0.047900263,0.047900263,135,20210928-105019,TCNAE-20210928-105019:_c=16.00_f=64_k=5_stk=3_er=26
0,37,9,32,2,128,0.031653732,0.031653732,0.047224689,0.047224689,175,20210928-105306,TCNAE-20210928-105306:_c=32.00_f=128_k=9_stk=2_er=37
0,32,5,16,3,64,0.025749035,0.025749035,0.047048286,0.047048286,149,20210928-144515,TCNAE-20210928-144515:_c=16.00_f=64_k=5_stk=3_er=32
0,43,14,8,4,16,0.025234217,0.025234217,0.046982188,0.046982188,183,20210928-081807,TCNAE-20210928-081807:_c=8.00_f=16_k=14_stk=4_er=43
0,20,17,16,3,128,0.002081066,0.002081066,0.046239514,0.046239514,183,20210928-011656,TCNAE-20210928-011656:_c=16.00_f=128_k=17_stk=3_er=20
0,34,15,16,3,64,0.020038266,0.020038266,0.046217095,0.046217095,150,20210928-044238,TCNAE-20210928-044238:_c=16.00_f=64_k=15_stk=3_er=34
0,33,13,16,3,64,0.003675559,0.003675559,0.04620339,0.04620339,165,20210928-045930,TCNAE-20210928-045930:_c=16.00_f=64_k=13_stk=3_er=33
0,29,7,16,4,128,0.015931342,0.015931342,0.045675058,0.045675058,140,20210928-050548,TCNAE-20210928-050548:_c=16.00_f=128_k=7_stk=4_er=29
0,46,7,16,2,32,0.020425085,0.020425085,0.045619093,0.045619093,194,20210928-125506,TCNAE-20210928-125506:_c=16.00_f=32_k=7_stk=2_er=46
0,41,5,8,3,16,0.033153452,0.033153452,0.045545466,0.045545466,200,20210928-150256,TCNAE-20210928-150256:_c=8.00_f=16_k=5_stk=3_er=41
0,26,3,16,1,64,0.025040688,0.025040688,0.045114785,0.045114785,147,20210928-152328,TCNAE-20210928-152328:_c=16.00_f=64_k=3_stk=1_er=26
0,42,2,16,2,64,0.027096935,0.027096935,0.045015853,0.045015853,200,20210928-083127,TCNAE-20210928-083127:_c=16.00_f=64_k=2_stk=2_er=42
0,43,18,8,4,16,0.031472243,0.031472243,0.044453196,0.044453196,168,20210928-073019,TCNAE-20210928-073019:_c=8.00_f=16_k=18_stk=4_er=43
0,44,3,8,3,16,0.037366059,0.037366059,0.044412188,0.044412188,200,20210928-020003,TCNAE-20210928-020003:_c=8.00_f=16_k=3_stk=3_er=44
0,35,7,16,2,32,0.023379374,0.023379374,0.043831591,0.043831591,197,20210928-052804,TCNAE-20210928-052804:_c=16.00_f=32_k=7_stk=2_er=35
0,49,19,16,2,128,0.000699772,0.000699772,0.043632429,0.043632429,200,20210928-110807,TCNAE-20210928-110807:_c=16.00_f=128_k=19_stk=2_er=49
0,41,8,16,1,32,0.025396429,0.025396429,0.04298716,0.04298716,156,20210928-024008,TCNAE-20210928-024008:_c=16.00_f=32_k=8_stk=1_er=41
0,29,9,16,1,64,0.003998622,0.003998622,0.042673711,0.042673711,191,20210928-063843,TCNAE-20210928-063843:_c=16.00_f=64_k=9_stk=1_er=29
0,37,19,16,3,128,0.000752351,0.000752351,0.042560287,0.042560287,200,20210928-014318,TCNAE-20210928-014318:_c=16.00_f=128_k=19_stk=3_er=37
0,39,4,16,2,128,0.025953323,0.025953323,0.042233247,0.042233247,109,20210928-111341,TCNAE-20210928-111341:_c=16.00_f=128_k=4_stk=2_er=39
0,27,13,32,2,64,0.006111183,0.006111183,0.041916635,0.041916635,200,20210928-050254,TCNAE-20210928-050254:_c=32.00_f=64_k=13_stk=2_er=27
0,38,14,16,4,128,0.00296016,0.00296016,0.040740393,0.040740393,194,20210928-060259,TCNAE-20210928-060259:_c=16.00_f=128_k=14_stk=4_er=38
0,23,18,8,3,16,0.019690212,0.019690212,0.039682552,0.039682552,148,20210928-085717,TCNAE-20210928-085717:_c=8.00_f=16_k=18_stk=3_er=23
0,34,14,16,2,32,0.009223418,0.009223418,0.038268052,0.038268052,183,20210928-052236,TCNAE-20210928-052236:_c=16.00_f=32_k=14_stk=2_er=34
0,22,5,8,2,16,0.025287937,0.025287937,0.037463691,0.037463691,197,20210928-021614,TCNAE-20210928-021614:_c=8.00_f=16_k=5_stk=2_er=22
0,49,15,16,3,128,0.002798798,0.002798798,0.037433963,0.037433963,200,20210928-064310,TCNAE-20210928-064310:_c=16.00_f=128_k=15_stk=3_er=49
0,44,10,16,2,64,0.003449367,0.003449367,0.036598701,0.036598701,200,20210928-040745,TCNAE-20210928-040745:_c=16.00_f=64_k=10_stk=2_er=44
0,31,17,8,4,16,0.016737938,0.016737938,0.036542684,0.036542684,200,20210928-051016,TCNAE-20210928-051016:_c=8.00_f=16_k=17_stk=4_er=31
0,49,19,16,2,64,0.000668593,0.000668593,0.035849474,0.035849474,200,20210928-094507,TCNAE-20210928-094507:_c=16.00_f=64_k=19_stk=2_er=49
0,40,15,16,2,128,0.000502275,0.000502275,0.034993265,0.034993265,200,20210928-023611,TCNAE-20210928-023611:_c=16.00_f=128_k=15_stk=2_er=40
0,31,17,8,3,16,0.012880497,0.012880497,0.034922611,0.034922611,194,20210928-035821,TCNAE-20210928-035821:_c=8.00_f=16_k=17_stk=3_er=31
0,30,11,16,2,64,0.001317267,0.001317267,0.034717634,0.034717634,200,20210928-102426,TCNAE-20210928-102426:_c=16.00_f=64_k=11_stk=2_er=30
0,48,16,8,3,16,0.014144574,0.014144574,0.032153521,0.032153521,166,20210928-082250,TCNAE-20210928-082250:_c=8.00_f=16_k=16_stk=3_er=48
0,23,11,16,1,128,0.000805004,0.000805004,0.031890653,0.031890653,185,20210928-142720,TCNAE-20210928-142720:_c=16.00_f=128_k=11_stk=1_er=23
0,30,9,16,1,64,0.002045339,0.002045339,0.030736646,0.030736646,200,20210928-081627,TCNAE-20210928-081627:_c=16.00_f=64_k=9_stk=1_er=30
0,40,9,8,2,16,0.018564606,0.018564606,0.030052204,0.030052204,200,20210928-043419,TCNAE-20210928-043419:_c=8.00_f=16_k=9_stk=2_er=40
0,41,9,8,3,16,0.019001484,0.019001484,0.029916212,0.029916212,200,20210928-070913,TCNAE-20210928-070913:_c=8.00_f=16_k=9_stk=3_er=41
0,28,16,8,4,32,0.005683898,0.005683898,0.029046685,0.029046685,180,20210928-152453,TCNAE-20210928-152453:_c=8.00_f=32_k=16_stk=4_er=28
0,21,4,8,4,64,0.016069161,0.016069161,0.02851673,0.02851673,109,20210928-042741,TCNAE-20210928-042741:_c=8.00_f=64_k=4_stk=4_er=21
0,48,5,8,3,32,0.017193357,0.017193357,0.028353842,0.028353842,186,20210928-143232,TCNAE-20210928-143232:_c=8.00_f=32_k=5_stk=3_er=48
0,32,2,4,3,16,0.023176828,0.023176828,0.026812548,0.026812548,200,20210928-062203,TCNAE-20210928-062203:_c=4.00_f=16_k=2_stk=3_er=32
0,32,4,4,3,16,0.016625902,0.016625902,0.025756948,0.025756948,200,20210928-095744,TCNAE-20210928-095744:_c=4.00_f=16_k=4_stk=3_er=32
0,26,4,8,1,16,0.020253342,0.020253342,0.024814207,0.024814207,200,20210928-061122,TCNAE-20210928-061122:_c=8.00_f=16_k=4_stk=1_er=26
0,42,18,8,4,128,0.000964302,0.000964302,0.024648512,0.024648512,200,20210928-092225,TCNAE-20210928-092225:_c=8.00_f=128_k=18_stk=4_er=42
0,37,6,4,4,16,0.017933281,0.017933281,0.024116093,0.024116093,200,20210928-122836,TCNAE-20210928-122836:_c=4.00_f=16_k=6_stk=4_er=37
0,38,6,8,2,32,0.00956062,0.00956062,0.023680676,0.023680676,199,20210928-113919,TCNAE-20210928-113919:_c=8.00_f=32_k=6_stk=2_er=38
0,48,5,4,4,16,0.015782624,0.015782624,0.022839081,0.022839081,200,20210928-031135,TCNAE-20210928-031135:_c=4.00_f=16_k=5_stk=4_er=48
0,24,13,8,1,16,0.01103925,0.01103925,0.021957213,0.021957213,200,20210928-143035,TCNAE-20210928-143035:_c=8.00_f=16_k=13_stk=1_er=24
0,35,12,4,4,16,0.008630346,0.008630346,0.021564083,0.021564083,200,20210928-024131,TCNAE-20210928-024131:_c=4.00_f=16_k=12_stk=4_er=35
0,33,19,8,1,16,0.008489307,0.008489307,0.020788543,0.020788543,200,20210928-095602,TCNAE-20210928-095602:_c=8.00_f=16_k=19_stk=1_er=33
0,41,18,8,1,16,0.009501401,0.009501401,0.019421337,0.019421337,200,20210928-141935,TCNAE-20210928-141935:_c=8.00_f=16_k=18_stk=1_er=41
